'tis,tis
'Tis,tis
abandon'd,abandoned
Abandon'd,abandoned
abas'd,abased
Abas'd,abased
abash'd,abashed
Abash'd,abashed
abhor'd,abhorred
Abhor'd,abhorred
abhorr'd,abhorred
Abhorr'd,abhorred
abjur'd,abjured
Abjur'd,abjured
abolish'd,abolished
Abolish'd,abolished
above-mention'd,above-mentioned
Above-mention'd,above-mentioned
above-nam'd,above-named
Above-nam'd,above-named
abovemention'd,abovementioned
Abovemention'd,abovementioned
abovenam'd,abovenamed
Abovenam'd,abovenamed
abridg'd,abridged
Abridg'd,abridged
absolv'd,absolved
Absolv'd,absolved
absorb'd,absorbed
Absorb'd,absorbed
abstain'd,abstained
Abstain'd,abstained
absur'd,absurd
Absur'd,absurd
abus'd,abused
Abus'd,abused
accompany'd,accompanied
Accompany'd,accompanied
accomplish'd,accomplished
Accomplish'd,accomplished
accouter'd,accoutered
Accouter'd,accoutered
accru'd,accrued
Accru'd,accrued
accurs'd,accursed
Accurs'd,accursed
accus'd,accused
Accus'd,accused
accustom'd,accustomed
Accustom'd,accustomed
 ach'd , ached 
Ach'd,ached
achiev'd,achieved
Achiev'd,achieved
acknowledg'd,acknowledged
Acknowledg'd,acknowledged
acknowleg'd,acknowledged
Acknowleg'd,acknowledged
acquiesc'd,acquiesced
Acquiesc'd,acquiesced
acquir'd,acquired
Acquir'd,acquired
address'd,addressed
Address'd,addressed
adduc'd,adduced
Adduc'd,adduced
adher'd,adhered
Adher'd,adhered
adjoin'd,adjoined
Adjoin'd,adjoined
adjourn'd,adjourned
Adjourn'd,adjourned
adjudg'd,adjudged
Adjudg'd,adjudged
adjur'd,adjured
Adjur'd,adjured
administer'd,administered
Administer'd,administered
admir'd,admired
Admir'd,admired
admonish'd,admonished
Admonish'd,admonished
ador'd,adored
Ador'd,adored
adorn'd,adorned
Adorn'd,adorned
advanc'd,advanced
Advanc'd,advanced
advantag'd,advantaged
Advantag'd,advantaged
advent'rer,adventurer
Advent'rer,adventurer
advent'rous,adventurous
Advent'rous,adventurous
adventur'd,adventured
Adventur'd,adventured
advertis'd,advertised
Advertis'd,advertised
advis'd,advised
Advis'd,advised
afear'd,afeared
Afear'd,afeared
affianc'd,affianced
Affianc'd,affianced
affirm'd,affirmed
Affirm'd,affirmed
affix'd,affixed
Affix'd,affixed
affray'd,afraid
Affray'd,afraid
aforemention'd,aforementioned
Aforemention'd,aforementioned
 ag'd , aged 
Ag'd,aged
aggrandiz'd,aggrandised
Aggrandiz'd,aggrandised
aggriev'd,aggrieved
Aggriev'd,aggrieved
agoniz'd,agonised
Agoniz'd,agonised
 ail'd , ailed 
Ail'd,ailed
ailwou'd,would
Ailwou'd,would
 aim'd , aimed 
Aim'd,aimed
 air'd , aired 
Air'd,aired
 ak'd , ached 
Ak'd,ached
alarm'd,alarmed
Alarm'd,alarmed
allarm'd,alarmed
Allarm'd,alarmed
allay'd,allayed
Allay'd,allayed
alledg'd,alleged
Alledg'd,alleged
alleg'd,alleged
Alleg'd,alleged
allow'd,allowed
Allow'd,allowed
alloy'd,alloyed
Alloy'd,alloyed
allur'd,allured
Allur'd,allured
ally'd,allied
Ally'd,allied
alter'd,altered
Alter'd,altered
am'rous,amorous
Am'rous,amorous
amass'd,amassed
Amass'd,amassed
amaz'd,amazed
Amaz'd,amazed
ambush'd,ambushed
Ambush'd,ambushed
amerc'd,amerced
Amerc'd,amerced
amus'd,amused
Amus'd,amused
anatomiz'd,anatomised
Anatomiz'd,anatomised
anchor'd,anchored
Anchor'd,anchored
anger'd,angered
Anger'd,angered
anguish'd,anguished
Anguish'd,anguished
annex'd,annexed
Annex'd,annexed
announc'd,announced
Announc'd,announced
annoy'd,annoyed
Annoy'd,annoyed
annul'd,annulled
Annul'd,annulled
annull'd,annulled
Annull'd,annulled
answ'ring,answering
Answ'ring,answering
answer'd,answered
Answer'd,answered
 ap'd , aped 
Ap'd,aped
appal'd,appalled
Appal'd,appalled
appall'd,appalled
Appall'd,appalled
apparel'd,apparelled
Apparel'd,apparelled
apparell'd,apparelled
Apparell'd,apparelled
appeal'd,appealed
Appeal'd,appealed
appear'd,appeared
Appear'd,appeared
appeas'd,appeased
Appeas'd,appeased
appli'd,applied
Appli'd,applied
apply'd,applied
Apply'd,applied
apprentic'd,apprenticed
Apprentic'd,apprenticed
appris'd,apprised
Appris'd,apprised
appriz'd,apprized
Appriz'd,apprized
approach'd,approached
Approach'd,approached
approv'd,approved
Approv'd,approved
 arch'd , arched 
Arch'd,arched
argu'd,argued
Argu'd,argued
 arm'd , armed 
Arm'd,armed
arous'd,aroused
Arous'd,aroused
arouz'd,aroused
Arouz'd,aroused
arraign'd,arraigned
Arraign'd,arraigned
arrang'd,arranged
Arrang'd,arranged
array'd,arrayed
Array'd,arrayed
arriv'd,arrived
Arriv'd,arrived
ascertain'd,ascertained
Ascertain'd,ascertained
ascrib'd,ascribed
Ascrib'd,ascribed
asham'd,ashamed
Asham'd,ashamed
 ask'd , asked 
Ask'd,asked
aspers'd,aspersed
Aspers'd,aspersed
aspir'd,aspired
Aspir'd,aspired
assail'd,assailed
Assail'd,assailed
assay'd,assayed
Assay'd,assayed
assembl'd,assembled
Assembl'd,assembled
assign'd,assigned
Assign'd,assigned
assuag'd,assuaged
Assuag'd,assuaged
assum'd,assumed
Assum'd,assumed
assur'd,assured
Assur'd,assured
asswag'd,assuaged
Asswag'd,assuaged
astonish'd,astonished
Astonish'd,astonished
astony'd,astonished
Astony'd,astonished
atchiev'd,achieved
Atchiev'd,achieved
aton'd,atoned
Aton'd,atoned
attach'd,attached
Attach'd,attached
attack'd,attacked
Attack'd,attacked
attain'd,attained
Attain'd,attained
attemper'd,tempered
Attemper'd,tempered
attir'd,attired
Attir'd,attired
atton'd,attoned
Atton'd,attoned
attun'd,attuned
Attun'd,attuned
augur'd,augured
Augur'd,augured
authoris'd,authorised
Authoris'd,authorised
authoriz'd,authorised
Authoriz'd,authorised
av'rice,avarice
Av'rice,avarice
avail'd,availed
Avail'd,availed
aveng'd,avenged
Aveng'd,avenged
aver'd,averred
Aver'd,averred
averr'd,averred
Averr'd,averred
avow'd,avowed
Avow'd,avowed
 aw'd , awed 
Aw'd,awed
awak'd,awaked
Awak'd,awaked
awak'ning,awakening
Awak'ning,awakening
awaken'd,awakened
Awaken'd,awakened
 ax'd , axed 
Ax'd,axed
back'd,backed
Back'd,backed
baffl'd,baffled
Baffl'd,baffled
bail'd,bailed
Bail'd,bailed
 bak'd , baked 
Bak'd,baked
balanc'd,balanced
Balanc'd,balanced
balk'd,baulked
Balk'd,baulked
ballanc'd,balanced
Ballanc'd,balanced
bandy'd,bandied
Bandy'd,bandied
bang'd,banged
Bang'd,banged
banish'd,banished
Banish'd,banished
banner'd,bannered
Banner'd,bannered
banter'd,bantered
Banter'd,bantered
baptiz'd,baptised
Baptiz'd,baptised
 bar'd , bared 
Bar'd,bared
barb'd,barbed
Barb'd,barbed
barb'rous,barbarous
